Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (s),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
18008,UP 1,27332.555,948,0,0.0,27.0,42.551398,100.0-1565.0,nan,FTMS + p NSI d Full ms2 757.3976@hcd27.00 [100.0000-1565.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7197954,N/A,N/A,N/A,N/A,IT=80 ,12148.64,N/A,0.0000,2,27.00,36.810,1.60,N/A,N/A,N/A,211753736.3568,76394370.1740,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,11926.3,0.000,N/A,N/A,N/A
18009,UP 1,29313.469,1000,0,0.0,27.0,42.553252,100.0-1510.0,nan,FTMS + p NSI d Full ms2 729.8850@hcd27.00 [100.0000-1510.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7158253,N/A,N/A,N/A,N/A,IT=80 ,12368.287,N/A,729.8850,2,27.00,35.472,1.60,N/A,N/A,N/A,211753737.0460,76394370.6688,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9455.0,0.000,N/A,N/A,N/A
18010,UP 1,21420.016,944,0,0.0,27.0,42.555098,100.0-1595.0,nan,FTMS + p NSI d Full ms2 773.4182@hcd27.00 [100.0000-1595.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7208806,N/A,N/A,N/A,N/A,IT=80 ,6264.04,N/A,773.4181,2,27.00,37.588,1.60,N/A,N/A,N/A,211753737.0152,76394370.6577,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9565.2,0.000,N/A,N/A,N/A
18012,UP 1,20209.312,860,0,0.0,27.0,42.559188,100.0-1210.0,nan,FTMS + p NSI d Full ms2 582.7993@hcd27.00 [100.0000-1210.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7132017,N/A,N/A,N/A,N/A,IT=80 ,8987.1436,N/A,582.7993,2,27.00,28.324,1.60,N/A,N/A,N/A,211753736.8792,76394370.5532,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10052.9,0.000,N/A,N/A,N/A
18013,UP 1,25973.797,1048,0,0.0,27.0,42.561365,100.0-1180.0,nan,FTMS + p NSI d Full ms2 568.3229@hcd27.00 [100.0000-1180.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6977507,N/A,N/A,N/A,N/A,IT=80 ,5580.0317,N/A,568.3229,2,27.00,27.620,1.60,N/A,N/A,N/A,211753737.4031,76394370.9329,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8174.6,0.000,N/A,N/A,N/A
18014,UP 1,16500.109,896,0,0.0,27.0,42.563198,100.0-1160.0,nan,FTMS + p NSI d Full ms2 559.8093@hcd27.00 [100.0000-1160.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7243307,N/A,N/A,N/A,N/A,IT=80 ,4518.4624,N/A,559.8093,2,27.00,27.207,1.60,N/A,N/A,N/A,211753737.4172,76394370.9414,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8124.0,0.000,N/A,N/A,N/A
18016,UP 1,18787.875,808,0,0.0,27.0,42.56725,100.0-1015.0,nan,FTMS + p NSI d Full ms2 487.2776@hcd27.00 [100.0000-1015.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6984858,N/A,N/A,N/A,N/A,IT=80 ,8032.1743,N/A,487.2776,2,27.00,23.682,1.60,N/A,N/A,N/A,211753737.4116,76394370.9394,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8144.1,0.000,N/A,N/A,N/A
18017,UP 1,18305.109,808,0,0.0,27.0,42.569102,100.0-1465.0,nan,FTMS + p NSI d Full ms2 709.8342@hcd27.00 [100.0000-1465.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6964431,N/A,N/A,N/A,N/A,IT=80 ,7773.04,N/A,709.8342,2,27.00,34.498,1.60,N/A,N/A,N/A,211753737.1637,76394370.7737,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9033.0,0.000,N/A,N/A,N/A
18018,UP 1,29758.32,1040,0,0.0,27.0,42.570929,100.0-1335.0,nan,FTMS + p NSI d Full ms2 643.8655@hcd27.00 [100.0000-1335.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7288912,N/A,N/A,N/A,N/A,IT=80 ,7953.915,N/A,643.8656,2,27.00,31.292,1.60,N/A,N/A,N/A,211753736.8420,76394370.5328,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10186.4,0.000,N/A,N/A,N/A
18019,UP 1,35316.281,1044,0,0.0,27.0,42.572775,100.0-1810.0,nan,FTMS + p NSI d Full ms2 877.4888@hcd27.00 [100.0000-1810.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7227096,N/A,N/A,N/A,N/A,IT=80 ,13607.179,N/A,877.4888,2,27.00,42.646,1.60,N/A,N/A,N/A,211753736.6582,76394370.3902,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10845.7,0.000,N/A,N/A,N/A
