Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (min),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
7056,Ref 2,677406.88,5628,0,0.0,27.0,20.981304,100.0-1100.0,nan,FTMS + p NSI d Full ms2 353.2055@hcd27.00 [100.0000-1100.0000],On,1,75.366,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714637,N/A,N/A,N/A,N/A,IT=75 ,60909.457,N/A,0.0000,3,27.00,16.212,1.60,N/A,N/A,N/A,211753904.0948,70201651.0583,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,72017.2,0.000,N/A,N/A,N/A
7057,Ref 2,340355.03,3240,0,0.0,27.0,20.983133,100.0-1175.0,nan,FTMS + p NSI d Full ms2 567.2615@hcd27.00 [100.0000-1175.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,201.1232355,N/A,N/A,N/A,N/A,IT=80 ,57039.176,N/A,0.0000,2,27.00,27.569,1.60,N/A,N/A,N/A,211753912.4577,70201656.5978,N/A,N/A,-4.91,-0.08,-0.02,0.04,0,N/A,36977.6,0.000,N/A,N/A,N/A
7058,Ref 2,127835.94,2076,0,0.0,27.0,20.984962,100.0-1330.0,nan,FTMS + p NSI d Full ms2 642.8801@hcd27.00 [100.0000-1330.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,185.1648764,N/A,N/A,N/A,N/A,IT=80 ,19851.33,N/A,0.0000,2,27.00,31.244,1.60,N/A,N/A,N/A,211753916.9487,70201659.5708,N/A,N/A,-4.91,-0.08,-0.01,0.04,0,N/A,18160.7,0.000,N/A,N/A,N/A
7060,Ref 2,456849.06,4752,0,0.0,27.0,20.988558,100.0-1060.0,nan,FTMS + p NSI d Full ms2 511.2551@hcd27.00 [100.0000-1060.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,218.0592254,N/A,N/A,N/A,N/A,IT=80 ,37988.727,N/A,511.2551,2,27.00,24.847,1.60,N/A,N/A,N/A,211753908.7269,70201654.1266,N/A,N/A,-4.91,-0.08,-0.03,0.04,0,N/A,52609.1,0.000,N/A,N/A,N/A
7061,Ref 2,44098.867,1172,0,0.0,27.0,20.990404,100.0-2600.0,nan,FTMS + p NSI d Full ms2 842.6953@hcd27.00 [100.0000-2600.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1020143,N/A,N/A,N/A,N/A,IT=80 ,8719.0293,N/A,0.0000,3,27.00,38.680,1.60,N/A,N/A,N/A,211753918.9240,70201660.8879,N/A,N/A,-4.91,-0.08,-0.01,0.04,0,N/A,9884.7,0.000,N/A,N/A,N/A
7062,Ref 2,7851537.5,7560,0,0.0,27.0,20.991241,100.0-815.0,nan,FTMS + p NSI d Full ms2 389.1815@hcd27.00 [100.0000-815.0000],On,1,21.481,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,288.2025878,N/A,N/A,N/A,N/A,IT=21 ,1503870.1,N/A,389.1815,2,27.00,18.914,1.60,N/A,N/A,N/A,211753873.8025,70201630.9739,N/A,N/A,-4.91,-0.08,-0.11,0.04,0,N/A,198938.2,-0.024,N/A,N/A,N/A
7063,Ref 2,1494633.8,4832,0,0.0,27.0,20.992291,100.0-1330.0,nan,FTMS + p NSI d Full ms2 428.9223@hcd27.00 [100.0000-1330.0000],On,1,34.274,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,185.164801,N/A,N/A,N/A,N/A,IT=34 ,144917.3,N/A,428.9223,3,27.00,19.688,1.60,N/A,N/A,N/A,211753903.7460,70201650.8247,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,73478.6,0.000,N/A,N/A,N/A
7064,Ref 2,2258535.5,5268,0,0.0,27.0,20.993233,100.0-845.0,nan,FTMS + p NSI d Full ms2 403.6887@hcd27.00 [100.0000-845.0000],On,1,27.746,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1189266,N/A,N/A,N/A,N/A,IT=28 ,283426.91,N/A,403.6887,2,27.00,19.619,1.60,N/A,N/A,N/A,211753900.5309,70201648.6909,N/A,N/A,-4.91,-0.08,-0.05,0.04,0,N/A,86949.2,0.000,N/A,N/A,N/A
7065,Ref 2,1404505.1,5276,0,0.0,27.0,20.994637,100.0-890.0,nan,FTMS + p NSI d Full ms2 426.1945@hcd27.00 [100.0000-890.0000],On,1,55.565,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,173.1284398,N/A,N/A,N/A,N/A,IT=56 ,379646.03,N/A,426.1945,2,27.00,20.713,1.60,N/A,N/A,N/A,211753896.4617,70201645.9896,N/A,N/A,-4.91,-0.08,-0.06,0.04,0,N/A,103998.7,-0.020,N/A,N/A,N/A
7066,Ref 2,879102.31,5300,0,0.0,27.0,20.996206,100.0-1000.0,nan,FTMS + p NSI d Full ms2 481.7343@hcd27.00 [100.0000-1000.0000],On,1,64.351,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,120.0808957,N/A,N/A,N/A,N/A,IT=64 ,147899.83,N/A,481.7343,2,27.00,23.412,1.60,N/A,N/A,N/A,211753902.9814,70201650.3181,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,76682.3,0.000,N/A,N/A,N/A
7067,Ref 2,780186.0,4412,0,0.0,27.0,20.997993,100.0-1090.0,nan,FTMS + p NSI d Full ms2 523.7592@hcd27.00 [100.0000-1090.0000],On,1,77.606,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,173.1284554,N/A,N/A,N/A,N/A,IT=78 ,198251.7,N/A,523.7592,2,27.00,25.455,1.60,N/A,N/A,N/A,211753901.9405,70201649.6194,N/A,N/A,-4.91,-0.08,-0.05,0.04,0,N/A,81043.4,0.000,N/A,N/A,N/A
7068,Ref 2,1144459.0,6860,0,0.0,27.0,20.999806,100.0-965.0,nan,FTMS + p NSI d Full ms2 463.7694@hcd27.00 [100.0000-965.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,143.1178212,N/A,N/A,N/A,N/A,IT=80 ,174208.08,N/A,463.7694,2,27.00,22.539,1.60,N/A,N/A,N/A,211753892.3579,70201643.2698,N/A,N/A,-4.91,-0.08,-0.07,0.04,0,N/A,121193.2,0.000,N/A,N/A,N/A
7069,Ref 2,951848.0,5360,0,0.0,27.0,21.001618,100.0-930.0,nan,FTMS + p NSI d Full ms2 447.2538@hcd27.00 [100.0000-930.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,149.0231947,N/A,N/A,N/A,N/A,IT=80 ,142069.11,N/A,447.2538,2,27.00,21.737,1.60,N/A,N/A,N/A,211753897.4618,70201646.6505,N/A,N/A,-4.91,-0.08,-0.06,0.04,0,N/A,99808.4,0.000,N/A,N/A,N/A
7071,Ref 2,389978.16,4244,0,0.0,27.0,21.005214,100.0-995.0,nan,FTMS + p NSI d Full ms2 479.2958@hcd27.00 [100.0000-995.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1022238,N/A,N/A,N/A,N/A,IT=80 ,29572.191,N/A,479.2958,2,27.00,23.294,1.60,N/A,N/A,N/A,211753910.7423,70201655.4639,N/A,N/A,-4.91,-0.08,-0.02,0.04,0,N/A,44165.0,0.000,N/A,N/A,N/A
7072,Ref 2,236178.97,3016,0,0.0,27.0,21.007043,100.0-1235.0,nan,FTMS + p NSI d Full ms2 596.7807@hcd27.00 [100.0000-1235.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,602.3138171,N/A,N/A,N/A,N/A,IT=80 ,40431.004,N/A,596.7807,2,27.00,29.004,1.60,N/A,N/A,N/A,211753913.0896,70201657.0188,N/A,N/A,-4.91,-0.08,-0.02,0.04,0,N/A,34330.1,0.000,N/A,N/A,N/A
7073,Ref 2,1095027.2,4412,0,0.0,27.0,21.008518,100.0-760.0,nan,FTMS + p NSI d Full ms2 362.1927@hcd27.00 [100.0000-760.0000],On,1,59.147,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,120.0808989,N/A,N/A,N/A,N/A,IT=59 ,322185.38,N/A,362.1927,2,27.00,17.603,1.60,N/A,N/A,N/A,211753899.7767,70201648.1877,N/A,N/A,-4.91,-0.08,-0.05,0.04,0,N/A,90109.5,0.000,N/A,N/A,N/A
