Scan Number,RAW File,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,SPS Masses,SPS Masses Continued,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
128,MS2_MS1_orbitrap,,Predicted,1,100.0,0.218,No,50000,-1.0,1,,118,881.4417,3,30.0,43.0,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,127427.3,-0.02,0.0,No,0.0
130,MS2_MS1_orbitrap,,Predicted,1,106.387,0.362,No,50000,-1.0,1,,124,1157.5443,4,30.0,52.44,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,140366.5,0.046,0.0,No,0.0
132,MS2_MS1_orbitrap,,Predicted,1,153.019,0.361,No,50000,-1.0,1,,129,1193.5332,3,26.0,50.33,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,118165.6,-0.02,0.0,No,0.0
133,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,129,967.0198,4,30.0,44.32,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,527233.7,0.02,0.0,No,0.0
135,MS2_MS1_orbitrap,,Predicted,1,100.755,0.362,No,50000,-1.0,1,,131,1390.7251,4,30.0,62.39,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,318544.1,-0.089,0.0,No,0.0
136,MS2_MS1_orbitrap,,Predicted,1,99.585,0.218,No,50000,-1.0,1,,131,709.7062,3,30.0,35.17,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,242536.6,0.036,0.0,No,0.0
137,MS2_MS1_orbitrap,,Predicted,1,128.081,0.247,No,50000,-1.0,1,,131,746.7167,3,30.0,36.84,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,126940.4,-0.02,0.0,No,0.0
139,MS2_MS1_orbitrap,,Predicted,1,228.258,0.362,No,50000,-1.0,1,,134,1193.1974,3,26.0,50.34,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,189563.0,-0.02,0.0,No,0.0
140,MS2_MS1_orbitrap,,Predicted,1,125.966,0.244,No,50000,-1.0,1,,134,943.6871,5,30.0,43.32,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,124141.8,-0.02,0.0,No,0.0
142,MS2_MS1_orbitrap,,Predicted,1,100.0,0.362,No,50000,-1.0,1,,138,798.412,7,28.0,35.03,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,32739.0,0.0,0.0,No,0.0
143,MS2_MS1_orbitrap,,Predicted,1,100.0,0.219,No,50000,-1.0,1,,138,802.0009,5,30.0,37.26,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,74762.4,-0.02,0.0,No,0.0
144,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,138,742.0554,3,30.0,36.64,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,200048.6,0.041,0.0,No,0.0
145,MS2_MS1_orbitrap,,Predicted,1,100.0,0.218,No,50000,-1.0,1,,138,701.7169,3,30.0,34.79,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,79917.4,-0.02,0.0,No,0.0
